# VELOCITY:     AVE_POFV:        ERROR:
           2     0.46292   0.0158296
     2.26667    0.385315   0.0123674
     2.53333    0.462037   0.0717056
         2.8    0.326794   0.0150878
     3.06667     0.23928   0.0221746
     3.33333    0.144387   0.0157409
         3.6   0.0580295   0.0104553
     3.86667   0.0226273  0.00679147
     4.13333    0.022338  0.00507694
         4.4  0.00964988  0.00248126
     4.66667  0.00149016 0.000643923
     4.93333  0.00144676    0.001126
         5.2 0.000896991 0.000576862
     5.46667  0.00036169 0.000354074
     5.73333 0.000231481 0.000226608
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0184861  0.00457926
         0.4   0.0573194   0.0074221
    0.666667    0.139292   0.0102996
    0.933333    0.222292   0.0166764
         1.2    0.327931    0.022854
     1.46667     0.39325   0.0208635
     1.73333    0.464833   0.0241326
           2    0.464861   0.0153151
     2.26667    0.385208   0.0118731
     2.53333    0.459514   0.0688818
         2.8    0.325667   0.0145264
     3.06667    0.233806   0.0219529
     3.33333    0.141736   0.0153327
         3.6    0.059125   0.0100943
     3.86667   0.0217222  0.00657985
     4.13333   0.0214444  0.00495186
         4.4  0.00926389  0.00241185
     4.66667  0.00143056 0.000620919
     4.93333  0.00138889  0.00108244
         5.2 0.000861111 0.000554902
     5.46667 0.000347222 0.000340207
     5.73333 0.000222222 0.000217732
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0178953  0.00444108
         0.4   0.0619658  0.00846699
    0.666667    0.141587   0.0101559
    0.933333    0.220246     0.01616
         1.2    0.331851   0.0223087
     1.46667    0.395767   0.0202122
     1.73333    0.466146   0.0232401
           2    0.465425   0.0147364
     2.26667      0.3834   0.0115533
     2.53333    0.455582   0.0663446
         2.8    0.322436   0.0143224
     3.06667     0.23316    0.021118
     3.33333    0.138448   0.0150914
         3.6   0.0608574  0.00985361
     3.86667   0.0216213  0.00632755
     4.13333   0.0206197  0.00482961
         4.4  0.00890759  0.00234526
     4.66667  0.00137553  0.00059947
     4.93333  0.00133547  0.00104213
         5.2 0.000827991 0.000534547
     5.46667 0.000333868 0.000327384
     5.73333 0.000213675 0.000209526
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333    0.017374  0.00430709
         0.4    0.063966  0.00838634
    0.666667    0.142863  0.00985961
    0.933333    0.220795   0.0155708
         1.2    0.335378   0.0217595
     1.46667    0.401337   0.0202168
     1.73333    0.467593   0.0224243
           2    0.464069   0.0142528
     2.26667    0.382472   0.0111627
     2.53333    0.447441    0.064385
         2.8    0.322479    0.013792
     3.06667    0.230607   0.0204896
     3.33333    0.137333   0.0145736
         3.6   0.0618184  0.00953541
     3.86667   0.0221065  0.00611177
     4.13333    0.019856  0.00471073
         4.4  0.00857767  0.00228148
     4.66667  0.00132459 0.000579428
     4.93333  0.00128601   0.0010047
         5.2 0.000797325 0.000515628
     5.46667 0.000321502 0.000315492
     5.73333 0.000205761 0.000201915
           6           0           0
     6.26667           0           0
     6.53333           0           0
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
    0.133333   0.0167535  0.00419772
         0.4   0.0656126  0.00824688
    0.666667    0.141245  0.00963926
    0.933333    0.222359    0.015093
         1.2    0.340737   0.0216321
     1.46667    0.408234   0.0206376
     1.73333     0.46906   0.0216714
           2     0.46157   0.0139611
     2.26667    0.385689   0.0112182
     2.53333     0.43905   0.0626299
         2.8    0.316245   0.0146409
     3.06667    0.229526   0.0197863
